page-id,photo-name,photo-alt,property-name,property-category,street1,street2,city,state,zip,phone-toll-free,phone-local,units,cost,location-description,website,amenities,
OAC-L-01,Bay-Bridge.jpg,"Bay Bridge Motel in North Bend, OR",Bay Bridge Motel,1,66304 Hwy 101,,North Bend,OR,97459,,541-756-3151,16,2,"The Bay Bridge Motel, located in North Bend on the north side of the historic McCullough bridge, offers views of the ocean, free WiFi access, and flat screen TVs with cable channels. Kitchenettes available in select rooms. ",http://www.baybridgemotel.com,"6,7",
OAC-L-02,New-Best-Western-exterior.jpg,"Best Western Holiday Hotel in Coos Bay, OR",Best Western Plus Holiday Motel,1,411 N. Bayshore Drive,,Coos Bay,OR,97420,800-228-8655,541-269-5111,83,3,"Best Western Holiday Hotel offers a retreat for exploring the Oregon Coast, dunes, lighthouse, beaches, historic sites, and annual festivals & events. Located across the street from the Bay, within easy walking distance to downtown shopping & dining.",http://www.bestwestern.com,"2,3,4,5,6,7,9,10",
OAC-L-03,Capt-Johns.jpg,"Captain John's Motel in Charleston, OR",Captain John's Motel,1,63360 Kingfisher Drive,,Charleston,OR,97420,,541-888-4041,44,2,"Located near the Charleston Marina, Captain John’s offers comfortable rooms with refrigerators and microwaves, free wi-fi, free boat parking, fish cleaning stations and is pet friendly. Weekly rates available.",http://www.captjohnsmotel.com,"5,6,7,9",
OAC-L-04,Charleston-Harbor.jpg,"Charleston Harbor Inn in Charleston, OR",Charleston Harbor Inn,1,63361 Kingfisher Rd,,Charleston,OR,97420,877-888-1178,541-888-1178,4,3,"A charming, quaint non-smoking inn providing all the comforts of home. One-bedroom apartments or Studio apartments with kitchenettes, in-room spa, and private patio. Within walking distance of the Charleston Docks and dining. Boat parking available.",http://www.charlestonharborinn.com,"4,6,7,9",
OAC-L-05,citycenter.jpg,"City Center Motel in North Bend, OR",City Center Motel,1,750 Connecticut Avenue,,North Bend,OR,97459,,541-808-3100,20,2,"Discover the center of comfort with modern amenities, luxurious accents, and generous hospitality. This is a hidden gem nestled in North Bend, close to Coos Bay and Oregon's beautiful beaches, hiking, dunes, outdoor adventures, shops & dining.",http://www.citycentermotelnorthbend.com,"1,2,5,6,7,9",
OAC-L-06,EdgewaterInn.jpg,Edgewater Inn on the banks of Coos Bay,Edgewater Inn,1,275 E. Johnson Avenue,,Coos Bay,OR,97420,800-233-0423,541-267-0423,82,3,"The perfect place to relax before setting off to explore the many recreational adventures close by. The Edgewater Inn offers comfortable rooms & suites with fridge, microwave, & free wifi. Fishing/observation deck offers beautiful views of the bay.",http://edgewaterinns.com/edgewater-inn-coos-bay/,"2,3,4,5,6,7,8,9,10",
OAC-L-07,Itty-Bitty.jpg,"Itty Bitty Inn in North Bend, OR",Itty Bitty Inn,1,1504 Sherman Avenue,,North Bend,OR,97459,,541-756-6398,5,2,"The Itty Bitty Inn provides a safe, clean, & cozy atmosphere for travelers since 1950! Each room includes Oregon-made soaps and locally roasted coffee. Our vintage vibe features bicycles, record players & rebuilt Atari 2600s available for guest use.",http://www.ittybittyinn.com,"2,5,6,7,9",
OAC-L-08,Mill-hotelfront-cement-fixed.jpg,"The Mill Casino Hotel and RV Park in North Bend, Oregon",The Mill Casino ● Hotel & RV Park,1,3201 Tremont Avenue,,North Bend,OR,97459,800-953-4800,541-756-8800,204,3,"Experience over 200 well-appointed rooms and suites in our Tower and Lodge, Las Vegas-style gaming excitement, five excellent dining venues and live entertainment – all with a great view along scenic Coos Bay. Free WiFi, pool, hot tub & pets welcome.",http://www.themillcasino.com,"1,3,4,5,6,7,8,9,10",
OAC-L-09,Motel-6-CB.jpg,"Motel 6 in Coos Bay, OR",Motel 6,1,1445 N. Bayshore Drive,,Coos Bay,OR,97420,800-466-8356,541-267-7171,94,2,"Located on Hwy 101 in Coos Bay, Motel 6 offers a variety of modern rooms with in-room spa tubs, kitchenettes, & free wifi. Within 5 miles of shopping, dining & entertainment in both Coos Bay and North Bend. Motel 6: Save more for what you travel for®",http://www.motel6.com,"4,5,6,7,8,9,10",
OAC-L-10,Parkside.jpg,"Parkside Motel in North Bend, OR",Parkside Motel,1,1480 Sherman Avenue,,North Bend,OR,97459,,541-751-9344,16,2,"Just minutes away from shopping, casinos, dunes and the beautiful Oregon Coast, the Parkside Motel is the perfect place to stay for the budget-minded traveler. Clean, comfortable and homey rooms. Parkside Motel offers weekly rates for longer stays.",http://www.parkside-motel.com,"5,6,7 ",
OAC-L-11,Plainview-Motel-Exterior.jpg,"Plainview Mural Motel in Charleston, OR",Plainview Motel & RV Park,1,91904 Cape Arago Hwy.,,Coos Bay,OR,97420,,541-888-5166,12,2,"Sometimes referred to as the Mural Motel, Plainview Motel & RV Park is located along the beautiful Southern Oregon Coast near Charleston. Visitors have the option of basic motel type rooms, RV parking, or vacation type rentals located on coos bay.",https://www.plainviewmotel.com,"5,6,7,9,10",
